FCLTY_KND,TRGET_FCLTY_NM,RDNMADR,LNMADR,LATITUDE,LONGITUDE,CCTV_YN,CCTV_NUMBER,REFERENCEDATE
초등학교,대전두리초교,대전 유성구 와룡로 37,,36.4297567496,127.3821864790,Y,2,2022-12-10
학원,하늘새퀴즈스쿨,대전 유성구 금남구즉로 1359-29,,36.4474941104,127.3852715080,Y,1,2022-12-10
어린이집,코레일대전어린이집,대전 대덕구 벚꽃길 148,,36.4261203675,127.4256892920,Y,1,2022-12-10
초등학교,장동초교,대전 대덕구 장동로 223-37,,36.4133185980,127.4372991150,Y,3,2022-12-10
초등학교,대전동화초교,대전 유성구 관평2로 43,,36.4217116436,127.3875066940,Y,3,2022-12-10
초등학교,대전전민초교,대전 유성구 엑스포로466번길 42,,36.3978615369,127.4069302550,Y,2,2022-12-10
초등학교,대덕초교도룡분교장,대전 유성구 엑스포로97번길 100,,36.3791674901,127.3914807450,Y,1,2022-12-10
초등학교,회덕초교,대전 대덕구 대전로 1350,,36.3742689460,127.4202314520,Y,2,2022-12-10
초등학교,신탄진용정초교,대전 대덕구 대청로 65,,36.4531428552,127.4352663080,Y,7,2022-12-10
기타,원비래어린이공원,대전 대덕구 비래서로61번길 35,,36.3560681863,127.4523263150,Y,1,2022-12-10
어린이집,세라어린이집,,대전광역시 대덕구 비래동 148-5,36.3571658684,127.4546368930,Y,2,2022-12-10
어린이집,꿈나무어린이집,대전 대덕구 비래동로40번길 52,,36.3564440428,127.4532537130,Y,1,2022-12-10
어린이집,자연어린이집,대전 대덕구 동춘당로23번길 37 105동 104호,,36.3593903063,127.4449128590,Y,2,2022-12-10
어린이집,호서어린이집,대전 동구 계족로464번길 11,,36.3530942193,127.4331865260,Y,1,2022-12-10
초등학교,대전서원초교,대전 서구 문정로 279,,36.3590384162,127.3952586660,Y,3,2022-12-10
유치원,"혜원유치원,아이사랑어린이집",대전 대덕구 신상로 12,,36.3549387560,127.4558059700,Y,2,2022-12-10
초등학교,대전송촌초교,대전 대덕구 동춘당로54번길 35,,36.3643350504,127.4456818600,Y,3,2022-12-10
어린이집,"피피쿠스사랑어린이집,샬롬어린이집",대전 대덕구 동춘당로15번길 1,,36.3604695532,127.4462661800,Y,4,2022-12-10
어린이집,늘사랑어린이집,대전 대덕구 비래서로10번길 21,,36.3539731396,127.4450956540,Y,3,2022-12-10
어린이집,색채어린이집,대전 대덕구 비래서로25번길 53,,36.3553459128,127.4477706620,Y,5,2022-12-10
어린이집,"피카츄어린이집,메이킨더유치원",대전 대덕구 한밭대로1159번길 20,,36.3608621095,127.4265729070,Y,3,2022-12-10
어린이집,슬아어린이집,대전 대덕구 한밭대로1111번길 60,,36.3608700959,127.4220875280,Y,6,2022-12-10
초등학교,대전샘머리초교,대전 서구 유등로 879,,36.3622044434,127.3923963410,Y,2,2022-12-10
기타,우송어학센터,,대전광역시 동구 자양동 346,36.3388879764,127.4500709790,N,0,2022-12-10
초등학교,대전동산초교,대전 대덕구 동산초교로63번길 50,,36.3494341075,127.4210484270,Y,6,2022-12-10
유치원,"홍도유치원,홍도어린이집",대전 동구 홍도로39번길 37,,36.3473868203,127.4264900890,Y,2,2022-12-10
어린이집,새뜸어린이집,대전 대덕구 한남로137번길 29,,36.3467558111,127.4169368690,Y,2,2022-12-10
어린이집,대전어린이집,대전 동구 솔랑길 21,,36.3391439668,127.4341254360,Y,1,2022-12-10
유치원,대전보건대학부속유치원,대전 동구 충정로 21,,36.3484879261,127.4538374040,Y,1,2022-12-10
유치원,"예림유치원,둔산큰별어린이집",대전 서구 도솔로 454,,36.3439675473,127.3933757840,Y,3,2022-12-10
어린이집,사과나무어린이집,대전 서구 괴정로149번길 47,,36.3391514539,127.3880025970,Y,2,2022-12-10
초등학교,대전목양초교,대전 중구 목동로 69,,36.3371919728,127.4051118660,Y,5,2022-12-10
어린이집,꿈동산어린이집,대전 동구 성동로 49-5,,36.3398682020,127.4519649740,Y,3,2022-12-10
기타,오정어린이공원,대전 대덕구 한남로149번길 28,,36.3451993062,127.4149977450,N,0,2022-12-10
